Player,Team,Position,Position Rank,Average,Std. Dev.,Total,Weekly Floor,Weekly Ceiling,#Top-12,#13-24,#24-36,#Rest,Position,Avg>StdDev,#Startable,TE Filter,Requirement
Carson Wentz,PHI,QB,1,21.51,5.59,193.60,15.92,27.11,7,2,0,0,1,1,9,0,1
Alex Smith,KC,QB,2,21.00,6.28,189.00,14.72,27.28,7,2,0,0,1,1,9,0,1
Russell Wilson,SEA,QB,3,22.66,9.33,181.30,13.33,31.99,5,3,0,0,1,1,8,0,1
Dak Prescott,DAL,QB,4,21.53,7.26,172.20,14.26,28.79,7,1,0,0,1,1,8,0,1
Deshaun Watson,HOU,QB,5,24.11,9.96,168.80,14.16,34.07,5,1,2,0,1,1,6,0,1
Tom Brady,NE,QB,6,20.31,8.11,162.50,12.20,28.43,6,2,0,0,1,1,8,0,1
Cam Newton,CAR,QB,7,17.02,8.12,153.20,8.90,25.14,4,3,2,0,1,1,7,0,1
Kirk Cousins,WAS,QB,8,17.55,7.55,140.40,10.00,25.10,4,4,0,0,1,1,8,0,1
Drew Brees,NO,QB,9,17.34,3.73,138.70,13.61,21.06,3,5,0,0,1,1,8,0,1
Josh McCown,NYJ,QB,10,15.38,5.42,138.40,9.96,20.80,3,5,1,0,1,1,8,0,1
Matthew Stafford,DET,QB,11,17.18,5.02,137.40,12.15,22.20,4,4,0,0,1,1,8,0,1
Jared Goff,LAR,QB,12,16.74,6.61,133.90,10.13,23.34,3,5,0,0,1,1,8,0,1
Tyrod Taylor,BUF,QB,13,16.51,5.45,132.10,11.07,21.96,4,3,1,0,1,1,7,0,1
Jacoby Brissett,IND,QB,14,14.08,6.98,126.70,7.09,21.06,4,3,2,0,1,1,7,0,1
Philip Rivers,LAC,QB,15,14.90,5.28,119.20,9.62,20.18,5,2,1,0,1,1,7,0,1
Matt Ryan,ATL,QB,16,14.78,3.12,118.20,11.65,17.90,3,4,1,0,1,1,7,0,1
Derek Carr,OAK,QB,17,14.75,7.76,118.00,6.99,22.51,3,3,3,0,1,1,6,0,1
Eli Manning,NYG,QB,18,13.86,6.99,110.90,6.88,20.85,2,3,3,0,1,1,5,0,1
Blake Bortles,JAX,QB,19,13.50,6.71,108.00,6.79,20.21,1,5,2,0,1,1,6,0,1
Aaron Rodgers,GB,QB,20,17.93,8.27,107.60,9.67,26.20,4,1,3,0,1,1,5,0,1
Jameis Winston,TB,QB,21,13.25,8.77,106.00,4.48,22.02,3,2,3,0,1,1,5,0,1
Marcus Mariota,TEN,QB,22,15.09,3.36,105.60,11.73,18.44,1,6,1,0,1,1,7,0,1
Carson Palmer,ARI,QB,23,14.61,6.16,102.30,8.46,20.77,3,3,2,0,1,1,6,0,1
Ben Roethlisberger,PIT,QB,24,12.68,4.46,101.40,8.21,17.14,1,5,2,0,1,1,6,0,1
Andy Dalton,CIN,QB,25,12.35,8.72,98.80,3.63,21.07,2,3,2,1,1,1,5,0,1
Trevor Siemian,DEN,QB,26,13.39,6.60,93.70,6.79,19.99,3,2,3,0,1,1,5,0,1
Case Keenum,MIN,QB,27,11.61,8.06,92.90,3.55,19.67,2,2,4,0,1,1,4,0,1
Jay Cutler,MIA,QB,28,12.03,5.77,84.20,6.26,17.80,1,3,4,0,1,1,4,0,1
